src,tgt
"""एते सर्वे तस्य प्रतिबिम्बं कुर्वन्ति यत् वयं, अस्माकं मनः, हृदयं च सामान्येन दृढसूत्रेण सह संलग्नाः अस्मत्।""
","""All  these are reflective of the fact that we, our minds and hearts have been  intertwined along a common strong thread.""
"
"""मम प्रियाः देशवासिनः, अत्यन्तं विनयेन, अत्यन्तं सम्मानेन च, अहं १३० कोटिदेशवासिभिः प्रदर्शितं भावनां नमामि।""
","""My dear countrymen, with utmost  humility and deepest respect, I bow to this sentiment displayed by a  130 crore countrymen.""
"
"""अस्माकं देशं प्रति भवतः निस्वार्थप्रयासस्य सुविधायै भवतः प्रवृत्तिः समयानुसारं च सर्वकारेण डिजिटलमञ्चः कल्पितः अस्ति।""
","""To facilitate your selfless endeavor towards our  country, as per your inclination and time, the government has come up  with a Digital Platform.""
"
"""अस्य मञ्चस्य माध्यमेन सर्वकारेण सामाजिकसङ्गठनानां स्वयंसेवकान्, नागरिकसमाजस्य प्रतिनिधिं, स्थानीयप्रशासनं च परस्परं सम्बद्धं कृतम् अस्ति।""
","""Through the medium of this platform, the  government has linked volunteers of social organizations,  representatives of civil society and local administration with each  other.""
"
"अस्य पोर्टलस्य भागः भवितुं १.२५ कोटिजनाः बहुकालं न व्यतीतवान् ।
","It did not take long for 1.25 crore people to be part of this  portal.
"
"""तेषु चिकित्सकाः, नर्साः, आशा-एएनएम-कर्मचारिणः, एनसीसी-एनएसएस-योः अस्माकं मित्राणि, असंख्यक्षेत्रेभ्यः व्यावसायिकाः...तेषां सर्वेषां मञ्चः स्वकीयः कृतः अस्ति।""
","""They comprise Doctors, Nurses, ASHA-ANM workers, our friends  from NCC and NSS, professionals from myriad fields…all of them have made  the platform their own.""
"
"संकटप्रबन्धनयोजनानां निर्माणे कार्यान्वयने च स्थानीयस्तरस्य एते जनाः अपारं साहाय्यं कुर्वन्ति।
","These people are of immense help at the local  level in preparing Crisis Management Plans and implementing them.
"
"भवान् अपि Covidwarriors.gov.in इत्यत्र सम्मिलितः भूत्वा Covid warrior भवितुं देशस्य सेवां च कर्तुं शक्नोति।
","You  too can join covidwarriors.gov.in to be a Covid warrior and serve the  country.
"
"""एतत् अधिकसंभावनानां मार्गं प्रशस्तं करोति, नूतनतरलक्ष्याणां कृते मार्गं स्वरूपयति।""
","""It paves the way for  further possibilities, shaping the course for newer goals.""
"
"संकटकाले देशवासिनः यत् संकल्पं प्रदर्शितवन्तः तस्य बलेन भारते अपि नूतनपरिवर्तनस्य आरम्भः अभवत् ।
","The strength  of the resolve the countrymen have displayed during the crisis has led  to the beginning of a new transformation too in India.
"
"""अस्माकं व्यवसायाः, कार्यालयाः, शैक्षिकसंस्थाः, अस्माकं चिकित्साक्षेत्रं नूतनानां परिचालनपरिवर्तनानां दिशि तीव्रगत्या अग्रे गच्छति।""
","""Our businesses,  offices, educational institutions, our medical sector are rapidly  advancing towards new operational changes.""
"
"""प्रौद्योगिकीमोर्चे वस्तुतः इदं प्रतीयते यत् देशस्य प्रत्येकं नवीनकारः उदयमानपरिस्थितीनां मध्ये किमपि वा अन्यं वा नूतनतया आगच्छति।""
","""On the technology front, it  actually seems every innovator in the country is coming up anew with  something or the other amid emerging situations.""
"
"मित्राणि वयं समग्रस्य देशस्य परिणामान् एकरूपेण एकसमूहरूपेण अनुभवामः।
","Friends we are  experiencing the results of the entire country in unison as a team.
"
"""अद्य केन्द्रसर्वकारः, राज्यसर्वकाराः; प्रत्येकं विभागः संस्था च पूर्णवेगेन राहतार्थं हस्तेन हस्तेन कार्यं कुर्वन्ति।""
","""Today, the Central Government, State Governments; each and every  department and institution are working hand in hand for relief at full  speed.""
"
"""विमानक्षेत्रे कार्यं कुर्वन्तः जनाः, रेलवेकर्मचारिणः अस्माकं देशवासिनां सम्मुखे स्थापितानां बाधानां निवारणाय दिवारात्रौ कार्यं कुर्वन्ति..""
","""People working in the aviation sector, Railway employees are  working day and night to alleviate hurdles confronting our countrymen..""
"
"देशस्य प्रत्येकं कोणे औषधानां आपूर्तिं सुनिश्चित्य 'जीवनरेखा उदन' इति विशेषाभियानस्य विषये भवतां बहवः अवगताः भवेयुः |.
","Many of you might be aware of a special campaign called ‘Lifeline Udan’  undertaken for ensuring supply of medicines to every corner of the  country.
"
"""अल्पकाले एव अस्माकं सहकारिणः त्रयः लक्षकिलोमीटर् यावत् उड्डयनदूरं कृतवन्तः, देशस्य दूरतमकोणेषु पञ्चशतटनाधिकं चिकित्सासामग्रीः भवद्भ्यः वितरन्ति स्म।
","""Within a short span of time, our colleagues clocked a flight  distance of three lakh kilometers, delivering over five hundred tons of  medical supplies to you in the farthest corners of the country.""
"
"""तथापि रेलवे-क्षेत्रे अस्माकं सहकारिणः तालाबन्दी-काले अदम्यरूपेण कार्यं कुर्वन्ति, येन सम्पूर्णे देशे सामान्यजनस्य अत्यावश्यकवस्तूनाम् अभावस्य सामना न कर्तव्यः।
","""Similarly our colleagues in the Railways are working relentlessly during  the lockdown, so that the common man throughout the country does not  have to face the shortage of essential commodities.""
"
"""तथा एव अस्माकं डाकविभागस्य कर्मचारिणः चिकित्सासामग्रीसुनिश्चितौ महत्त्वपूर्णां भूमिकां निर्वहन्ति।""
","""Similarly, our postal department personnel are playing a critical role  in ensuring medical supplies.""
"
"अस्माकं एते सर्वे सहकारिणः यथार्थतया कोरोना योद्धाः सन्ति।
","All these colleagues of ours are Corona  Warriors in the truest sense.
"
"""मित्राः, प्रधानमन्त्रिगरीब कल्याणपैकेजस्य भागत्वेन, प्रत्यक्षतया निर्धनानाम् खातेषु धनं स्थानान्तरितम् अस्ति।""
","""Friends,  money is being directly transferred into the accounts of the poor, as  part of the Pradhan Mantri Gareeb Kalyan Package.""
"
"वृद्धावस्थापेंशनं प्रारब्धम् अस्ति।
","Old age pension has  been started.
"
"निर्धनानाम् कृते मासत्रयपर्यन्तं निःशुल्कगैससिलिण्डरराशनम् इत्यादीनि सुविधानि प्रदत्तानि सन्ति।
","The poor are being provided facilities like free of cost  gas cylinders and rations for three months.
"
"""एतेषु सर्वेषु कार्येषु विभिन्नाः सर्वकारीयविभागाः, बैंकक्षेत्रस्य कर्मचारिणः च एकसमूहरूपेण 24 घण्टां मिलित्वा कार्यं कुर्वन्ति।""
","""In all these activities,  different government departments and banking sector personnel are  working together round the clock as a team.""
"
"तथा च अहम् अस्माकं राज्यसर्वकाराणां प्रशंसाम् अपि कर्तुम् इच्छामि यत् ते अस्याः महामारीयाः निवारणे अतीव सक्रियभूमिकां निर्वहन्ति।
","And I would also like to  commend our state governments for playing a very proactive role in  dealing with this pandemic.
"
"कोरोनाविरुद्धे युद्धे स्थानीयप्रशासनैः राज्यसर्वकारैः च यत् दायित्वं वह्यते तत् महत्त्वपूर्णम् अस्ति।
","The responsibilities being borne by local  administrations and state governments are critical in the fight against  Corona.
"
"तेषां परिश्रमः प्रशंसनीयः अस्ति।
","Their hard work is worthy of commendation.
"
"""मम प्रियाः देशवासिनः, देशे सर्वत्र चिकित्सासेवाकर्मचारिणः अद्यैव यः अध्यादेशः निर्गतः तस्य विषये सन्तुष्टिं प्रकटितवन्तः।""
","""My  dear countrymen, medical services personnel across the country have  expressed satisfaction with the ordinance that has been issued recently.""
"
"अस्मिन् अध्यादेशे कोरोना-योद्धानां विरुद्धं उत्पीडनं वा चोटं वा हिंसायां वा प्रवृत्तानां कठोरदण्डस्य व्यवस्था अस्ति ।
","This ordinance provides for stringent punishment for those harassing or  injuring or indulging in violence against Corona warriors.
"
"""मम प्रियाः देशवासिनः, वयं अनुभवामः यत् अस्याः महामारीविरुद्धयुद्धकाले अस्माकं जीवनं, अस्माकं समाजं, अस्माकं परितः घटमानानि घटनानि च नूतनदृष्टिकोणेन अवलोकयितुं अवसरः प्रदत्तः अस्ति।
","""My  dear countrymen, we feel that during the fight against this pandemic,  we have been accorded an opportunity to look at our lives, our society  and the happenings around us, with a fresh perspective.""
"
"समाजस्य दृष्टिकोणे दूरगामी परिवर्तनं भवति ।
","There is a  far-reaching change in the viewpoint of the society.
"
"अद्य वयं प्रत्येकस्य व्यक्तिस्य महत्त्वं अवगच्छामः यः अस्माकं जीवनेन सह सम्बद्धः अस्ति।
","Today we realise  the importance of each person who is connected with our lives.
"
"""ते गृहसहायकाः, अस्माकं विविधान् आवश्यकतान् पूरयन्तः सामान्याः श्रमिकाः वा समीपस्थेषु दुकानेषु कार्यं कुर्वन्तः कर्मचारिणः वा – वयं अवगच्छामः यत् ते अस्माकं जीवने कियत् प्रमुखा भूमिकां निर्वहन्ति।
","""Whether  they are household helps, common workers who fulfill our various needs  or personnel working in shops nearby – we are realising what a major  role they play in our lives.""
"
"""तथा एव आवश्यकसेवाः प्रदातुं कर्मचारिणः, विपण्यस्थानेषु कार्यं कुर्वन्तः मजदूराः, अस्माकं समीपस्थेषु आटोरिक्शाचालकाः – अद्य वयं अवगच्छामः यत् तेषां विना अस्माकं जीवनं कियत् कठिनं भवितुम् अर्हति।
","""Similarly, personnel delivering essential  services, labourers working in marketplaces, the auto rickshaw drivers  in our neighbourhood – today we realise how difficult our lives can be  without them.""
"
"""अद्यकाले वयं नियमितरूपेण सामाजिकमाध्यमेषु पश्यामः यत् तालाबन्दीकाले जनाः न केवलं एतेषां सहकारिणां स्मरणं कुर्वन्ति, तेषां आवश्यकतासु साहाय्यं च कुर्वन्ति, अपितु तेषां विषये अपि महता आदरपूर्वकं लिखन्ति।
","""These days we regularly  see on the social media that during the lock down, people are not only  remembering these colleagues and helping them with their needs, but are  also writing about them with great respect.""
"
"अद्य वयं सर्वेभ्यः कोणेभ्यः चित्राणि आगच्छन्ति पश्यामः यत्र स्वच्छताकर्मचारिणः पल्लवैः वर्ष्यन्ते।
","Today we see pictures coming  in from all corners where sanitation workers are being showered with  petals.
"
"""पूर्वं भवता सम्भवतः तेषां योगदानमपि न लक्षितम्।""
","""Earlier, you probably did not even notice their contribution.""
"
"""वैद्याः, सफाईकर्मचारिणः अन्ये च एतादृशाः सेवाकर्मचारिणः, अस्माकं पुलिससंस्थाः अपि सामान्यजनैः नूतनप्रकाशेन दृश्यन्ते।""
","""Doctors, cleaning staff and other such services personnel, and even our  police organisations are being seen in a new light by the common people.""
"
"""पूर्वं यदा वयं पुलिसस्य विषये चिन्तयामः तदा केवलं नकारात्मकविचारैः एव आक्रान्ताः आसन्।""
","""Earlier when we thought of the police, we were engulfed only by  negative thoughts.""
"
"अद्य अस्माकं पुलिसकर्मचारिणः एतत् सुनिश्चितं कुर्वन्ति यत् अन्नं औषधं च निर्धनानाम्, आवश्यकतावशात् च यावत् भवति।
","Today our police personnel are ensuring that food and  medicines reach the poor and the needy.
"
"""मित्राः, वयं प्रायः त्रयः शब्दाः शृणोमः - प्रकृतिः, विकृतिः, संस्कृतिः च .""
","""Friends,  we often hear three words - nature, perversion and culture .""
"
"""यदि वयं मानवस्वभावस्य विषये वदामः तर्हि 'एतत् मम', 'अहम् एतत् उपयुञ्जामि' – एतादृशी मानसिकता सर्वथा स्वाभाविकी मन्यते।""
","""If we talk of human nature, 'this  is mine', 'I am using this' – such a mindset is considered quite  natural.""
"
"अस्मिन् विषये कस्यचित् आक्षेपः नास्ति इव ।
","Nobody seems to have any objection to this.
"
"एतत् 'प्रकृति' इति निर्दिष्टुं शक्नुमः ।
","We can refer to  this as 'nature'.
"
"""किन्तु तत् 'यत् मम न भवति', 'यत् मम न सम्यक्', अहं च बलात् अन्यस्मात् व्यक्तितः अपहृत्य प्रयुञ्जामि, तत् एकप्रकारस्य विकृतिः क्षयः वा इति निर्दिष्टुं शक्यते।
","""But that 'which  doesn't belong to me', 'which is not rightfully mine', and I forcibly  snatch it from another person and use, can be referred to as a kind of  perversion or degeneration.""
"
"""स्वभावः विकृतिश्च, यदि संस्कृतं मनः उपरि उत्तिष्ठति, विचारे कर्मणि च, तर्हि 'संस्कृतिः' प्रकटिता भवति।""
","""nature and perversion,  if a cultured mind rises above, in thought and action, then 'culture'  manifests itself.""
"
"""मित्राः, गम्भीरसमये एते गुणाः परीक्षिताः भवन्ति।""
","""Friends,  in critical times, these qualities are put to the test.""
"
"""भवन्तः गतदिनेषु दृष्टवन्तः स्यात्, यत् भारतेन स्वसंस्कृतेः, लोकाचारस्य च प्रति सत्यं धारयन् – अस्माकं सांस्कृतिकविरासतां च समर्थयन् केचन निर्णयाः कृताः।""
","""You  would have seen in the past few days, that India has taken some  decisions while keeping true to its culture and ethos – and upholding  our cultural heritage.""
"
"""अस्मिन् संकटकाले विश्वे - धनिनः समृद्धाः च राष्ट्राणि अपि सन्ति - औषधानां अभावः वर्तते।""
","""During this crisis, the world - including rich  and prosperous nations - is facing a shortage of medicines.""
"
"""एतेषु कालेषु भारतं विश्वाय औषधानि न ददाति चेदपि अस्मान् कोऽपि दोषं न कृतवान् स्यात्।""
","""In these  times, even if India does not provide medicines to the world, no one  would have faulted us.""
"
"प्रत्येकं देशः अवगमिष्यति स्म यत् स्पष्टतया भारतं स्वनागरिकाणां जीवनं प्राथमिकताम् अददात्।
","Every country would understand that obviously  India would priorities the lives of its own citizens.
"
"वयं स्वसंस्कृतेः अनुरूपं निर्णयं कृतवन्तः।
","We took a  decision in keeping with our culture.
"
"""भारतस्य आवश्यकतानां पूर्तये वयं प्रयत्नाः वर्धयामः तथापि मानवतायाः उद्धाराय विश्वस्य अन्येभ्यः भागेभ्यः आगतानां साहाय्यस्य आह्वानस्य अपि वयं ध्यानं दत्तवन्तः।""
","""While we stepped up efforts to  fulfill India's needs, we also paid heed to the cry of help that came  from other parts of the world to save humanity.""
"
"""वयं विश्वे सर्वत्र आवश्यकतावशात् चिकित्सासामग्रीप्रदानस्य कार्यं स्वीकृतवन्तः, एतत् मानवीयकार्यं च सफलतया सम्पन्नवन्तः।""
","""We undertook the task of  providing medical supplies to the needy across the world, and have  successfully completed this humanitarian task.""
"
"""अद्य यदा अहं विभिन्नदेशानां राष्ट्रप्रमुखैः सह दूरभाषेण वदामि तदा ते भारतस्य जनानां प्रति कृतज्ञतां प्रकटयितुं सुनिश्चितं कुर्वन्ति।""
","""Today when I speak to  heads of state of various countries on phone, they make sure to express  gratitude to the people of India.""
"
"""यदा ते वदन्ति यत् 'धन्यवादः भारतः, धन्यवादः भारतस्य जनाः' तदा वयं स्वदेशे अधिकं गौरवं अनुभवामः।""
","""When they say, 'Thank you India, Thank  you people of India', we feel greater pride in our country.""
"
"""एवमेव क्रमेण विश्वस्य जनाः भारतस्य आयुर्वेदस्य, योगस्य च महत्त्वं प्रति विशेषं ध्यानं ददति।""
","""In the same  vein, people across the world are paying special attention to the  importance of India's Ayurveda and Yoga.""
"
"केवलं सामाजिकमाध्यमान् पश्यन्तु... कथं सर्वत्र जनाः रोगप्रतिरोधकशक्तिं वर्धयितुं भारतस्य आयुर्वेदस्य योगस्य च चर्चां कुर्वन्ति।
","Just look at the social media…  how people everywhere are discussing India's Ayurveda and Yoga to boost  immunity.
"
"मम विश्वासः अस्ति यत् भवान् सर्वे आयुषमन्त्रालयेन सुझातं रोगप्रतिरोधकशक्तिं वर्धयितुं कोरोना-सम्बद्धस्य प्रोटोकॉलस्य अनुसरणं कुर्वन्ति।
","I am sure you all are following the Corona-related protocol to  boost immunity suggested by the Ayush ministry.
"
"""आयुषमन्त्रालयेन निर्गताः उष्णजलं, काढाः इत्यादयः मार्गदर्शिकाः, यदि भवन्तः तत् दैनन्दिनकार्यक्रमे समावेशयन्ति तर्हि भवतः कृते अतीव सहायकाः भविष्यन्ति।""
","""Warm water, decoction  and other guidelines issued by Ayush ministry, would be very helpful for  you if you include it in your daily routine.""
"
"""मित्राः, अस्माकं दुर्भाग्यं जातम् यत् वयं सर्वदा स्वशक्तयः, गौरवपूर्णपरम्पराः च स्वीकुर्वितुं नकारयामः।""
","""Friends,  it has been our misfortune that we always refuse to acknowledge our own  strengths and glorious traditions.""
"
"सम्भवतः अस्माकं शतशः वर्षाणां बन्धनस्य चरणस्य कारणेन एव एतत् बहुधा अस्ति ।
","Possibly this is largely due to our hundreds of year long  phase of bondage.
"
"""एतस्य कारणात् प्रायः वयं स्वस्य सामर्थ्यं ज्ञातुं असफलाः भवेम।""
","""Due to this, often we fail to realise our own  strengths.""
"
"अस्माकं आत्मविश्वासः डुलति।
","Our self confidence wavers.
"
"""अत एव वयं अस्माकं पारम्परिकसिद्धान्तान् प्रमाणाधारितसंशोधनेन सह प्रस्तुतुं स्थाने केवलं तान् अवहेलयित्वा तान् हीनान् मन्यामहे।""
","""That's why instead of presenting  our traditional principles with evidence based research, we just ignore  them and consider them inferior.""
"
"""यथा जगत् योगं सुखेन स्वीकृतवान्, तथैव अस्माकं युगपुराणान् आयुर्वेदिकसिद्धान्तान् अपि जगत् अवश्यमेव स्वीकुर्यात्।""
","""Just as the world has happily accepted Yoga,  the world will surely also accept our ages old Ayurvedic principles.""
"
"""अवश्यं युवाभिः एतत् कर्तुं संकल्पः करणीयः भविष्यति, एतान् सिद्धान्तान् वैज्ञानिकभाषायां जगति व्याख्यातव्यं भविष्यति, येन ते तत् अवगच्छन्ति।""
","""Of  course, the youth will have to resolve to do this and explain these  principles to the world in a scientific language, so that they  understand it.""
"
"""मित्राः, मया अवश्यं वक्तव्यं यत्, बहवः सकारात्मकाः परिवर्तनाः जैविकरूपेण अस्माकं कार्यसंस्कृतौ, अस्माकं जीवनशैल्याः, अस्माकं दैनन्दिन-अभ्यासेषु च मार्गं कल्पयन्ति।""
","""Friends, I must say,  many positive changes are organically making their way into our work  culture, our lifestyle and our daily habits.""
"
"भवद्भिः सर्वैः अवश्यमेव अनुभूतं यत् एतेन संकटेन अस्मान् कथं अधिकं जागरूकाः, विविधविषयेषु अस्माकं चेतनायाः उन्नतिः च कृता ।
","You all must have felt how  this crisis has made us more aware and heightened our consciousness on  various subjects.
"
"""अस्माकं परितः यः प्रभावः अधिकतया दृश्यते, सः मुखौटं धारयित्वा मुखं आच्छादयति।""
","""The effect that is most visible around us, is wearing a  mask and covering the face.""
"
"""कोरोना-कारणात् परिवर्तित-प्रतिमान-मध्ये मुखौटाः अस्माकं जीवनस्य भागः भवन्ति।""
","""In the changed paradigm due to Corona,  masks are becoming a part of our lives.""
"
"""यदा च अहं मुखौटानां विषये वदामि तदा मम किमपि स्मरणं भवति।""
","""And when I talk of masks, I am reminded of something.""
"
"अतः – फलक्रयणस्य अर्थः आसीत् रोगः ।
","So – buying fruits meant illness.
"
"परन्तु समयः परिवर्तितः अस्ति, एतत् प्रतिमानम् अपि स्थानान्तरितम् अस्ति।
","But times have changed and this paradigm too has  shifted.
"
"तथैव वयं मुखौटानां विषये अपि दृष्टिकोणे परिवर्तनं द्रष्टुं गच्छामः।
","Similarly we are going to see a change in attitude towards  masks as well.
"
"""मम वचनं चिह्नितव्यम्, मुखौटाः इदानीं संस्कृतसमाजस्य प्रतीकं भविष्यन्ति।""
","""Mark my words, masks will now become a symbol of cultured  society.""
"
"""यदि भवन्तः स्वं अन्येषां च रोगात् उद्धारयितुम् इच्छन्ति तर्हि भवन्तः मुखौटं धारयितुं प्रवृत्ताः भविष्यन्ति।""
","""If you want to save yourself and others from disease, you will  have to wear a mask.""
"
"""मित्राः, अस्माकं समाजे अन्यत् जागरूकता यत् आगतं तत् अस्ति यत् सार्वजनिकस्थानेषु थूकस्य कारणेन यत् क्षतिः भवितुम् अर्हति तत् जनाः इदानीं अवगच्छन्ति।""
","""Friends,  another awareness that has come about in our society is that people now  understand the damage that can be caused by spitting in public places.""
"
"अस्माकं दुर्व्यवहारस्य भागः आसीत् यत् वयं प्रायः कुत्रापि थूकं कुर्मः ।
","It had been a part of our bad habits that we would spit just about  anywhere.
"
"एतेन स्वच्छतायाः स्वास्थ्यस्य च कृते गम्भीरं आव्हानं भवति ।
","This presents a serious challenge both to cleanliness and to  health.
"
"""यद्यपि यदि वयं तत् पश्यामः तर्हि वयं सर्वदा एतस्याः समस्यायाः विषये अवगताः आसन्, परन्तु एषा समस्या केवलं अस्माकं समाजेन सम्बोधितुं न अस्वीकृतवती।""
","""Although if we look at it, we have always been aware of this  problem, but this problem just refused to get addressed by our society.""
"
"परन्तु इदानीं समयः अस्ति यत् एकवारं सर्वदा कृते एतस्याः समस्यायाः मुक्तिः।
","But it's time now to get rid of this problem once and for all.
"
"""यथा वदन्ति, 'कदापि न भवति अपेक्षया विलम्बः श्रेयस्करम्'।""
","""As they  say, 'better late than never'.""
"
"""अतः यद्यपि वयं तस्य सम्बोधने विलम्बं कृतवन्तः, परन्तु अधुना अस्माभिः थूकस्य आदतं निर्मूलनीयम्।""
","""So even though we have been late in  addressing it, but now we must eradicate the spitting habit.""
"
"""एतानि वस्तूनि न केवलं अस्माकं मूलभूतस्वच्छतास्तरं वर्धयिष्यन्ति, अपितु कोरोनासंक्रमणस्य प्रसारं निवारयितुं अपि साहाय्यं करिष्यन्ति।""
","""These  things will not only boost our basic hygiene levels, but also help in  preventing the spread of the Corona infection.""
"
